,q,x,y,boundname,screen_top,screen_botm,enddatetime,datetime,laymidpt
67,-0.008,1517647.0034,5031648.0003,21/5__0,109.92002869,64.24648285,2022-12-31,2022-01-01,87.08325577
68,-0.008,1517718.0031,5031736.0007,21/6__0,109.08650208,64.12441254,2022-12-31,2022-01-01,86.60545730999999
70,-0.008,1517845.0024,5031586.9986,21/14__0,108.80895233,63.80172348,2022-12-31,2022-01-01,86.305337905
71,-0.008,1517749.0031,5031492.9919,21/16__0,109.21190643,63.97498322,2022-12-31,2022-01-01,86.593444825
76,-0.008,1519559.9978,5033463.9985,5600/p1__0,107.52838898,71.73825073,2022-12-31,2022-01-01,89.633319855
77,-0.008,1519593.9975,5033411.9991,5600/p2__0,107.55656433,71.47679901,2022-12-31,2022-01-01,89.51668167
78,-0.008,1519634.9982,5033369.9903,5600/p3__0,107.6627655,71.3396225,2022-12-31,2022-01-01,89.501194
79,0.006,1519433.0009,5033336.9925,5600/r1__0,108.33624268,71.71946716,2022-12-31,2022-01-01,90.02785492
80,0.006,1519443.996,5033326.9955,5600/r2__0,108.33624268,71.71946716,2022-12-31,2022-01-01,90.02785492
81,0.006,1519469.0021,5033304.9914,5600/r3__0,107.84601593,71.50624847,2022-12-31,2022-01-01,89.6761322
82,0.006,1519482.0045,5033285.9927,5600/r4__0,107.84601593,71.50624847,2022-12-31,2022-01-01,89.6761322
83,0.024,1519518.9951,5033226.9991,5600/sca__0,107.97271729,71.20656586,2022-12-31,2022-01-01,89.589641575
84,-0.0214,1519078.0002,5033219.9947,5636/1__0,107.6685791,71.26053619,2022-12-31,2022-01-01,89.464557645
85,0.0214,1519088.0037,5033340.9992,5636/2__0,108.11677551,71.62285614,2022-12-31,2022-01-01,89.86981582499999
86,0.0214,1519071.9995,5033226.9908,5636/3__0,107.9879303,71.23077393,2022-12-31,2022-01-01,89.60935211500001
87,-0.006,1519568.0019,5033226.9948,5686/p1__0,107.90103149,71.13298035,2022-12-31,2022-01-01,89.51700592
88,-0.006,1519571.9988,5033222.9929,5686/p2__0,107.90103149,71.13298035,2022-12-31,2022-01-01,89.51700592
89,0.006,1519546.9999,5033241.0,5686/r1__0,108.01702118,71.26424408,2022-12-31,2022-01-01,89.64063263
90,0.006,1519545.005,5033238.9979,5686/r2__0,107.90103149,71.13298035,2022-12-31,2022-01-01,89.51700592
91,0.012,1519518.9951,5033226.9991,5686/sca__0,107.97271729,71.20656586,2022-12-31,2022-01-01,89.589641575
94,0.008,1519549.9958,5033195.998,5700/sca__0,107.90103149,71.13298035,2022-12-31,2022-01-01,89.51700592
109,0.006,1518762.0032,5031310.9926,5883/sca__0,106.4753418,63.43370056,2022-12-31,2022-01-01,84.95452118
129,-0.0035,1516905.0028,5033255.9986,5814/1__0,112.15606689,65.06850433,2022-12-31,2022-01-01,88.61228561
138,-0.0095,1520751.9961,5032391.9959,19/16__0,103.56208801,66.87348175,2022-12-31,2022-01-01,85.21778488
139,-0.0095,1520458.9982,5032383.9957,19/18__0,104.6832962,68.13028717,2022-12-31,2022-01-01,86.406791685
140,-0.0095,1520823.9999,5032383.9976,19/19__0,103.91210938,66.63584137,2022-12-31,2022-01-01,85.27397537499999
141,-0.0095,1520653.0013,5032404.9929,19/20__0,104.02419281,67.29175568,2022-12-31,2022-01-01,85.65797424499999
142,-0.0095,1520382.003,5032502.9936,19/21__0,103.00206757,68.493927,2022-12-31,2022-01-01,85.747997285
