name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4261.5,35.6729,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4291.5,35.4486,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4322.5,35.1758,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4352.5,34.9512,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4383.5,34.742,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3652.5,35.1971,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3683.5,35.092,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3712.5,35.0691,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3743.5,35.0838,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3773.5,35.1408,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3804.5,35.1833,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3834.5,35.17,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3865.5,35.1388,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3896.5,35.0845,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3926.5,34.9617,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3957.5,34.8387,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:3987.5,34.7196,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4018.5,34.6293,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4049.5,34.6052,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4077.5,34.6502,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4108.5,34.7312,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4138.5,34.825,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4169.5,34.9159,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4199.5,34.9725,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4230.5,34.9742,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4261.5,34.8841,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
