,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
649,"(1, 11, 5)","(5, 14, 10)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,5,5,14,10
650,"(2, 10, 5)","(5, 14, 10)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,14,10
651,"(1, 11, 5)","(5, 14, 11)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,5,5,14,11
652,"(2, 10, 5)","(5, 14, 11)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,14,11
653,"(1, 11, 6)","(5, 14, 12)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,6,5,14,12
654,"(2, 10, 6)","(5, 14, 12)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,14,12
655,"(1, 11, 6)","(5, 14, 13)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,6,5,14,13
656,"(2, 10, 6)","(5, 14, 13)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,14,13
657,"(1, 11, 6)","(5, 14, 14)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,6,5,14,14
658,"(2, 10, 6)","(5, 14, 14)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,14,14
659,"(1, 11, 7)","(5, 14, 15)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,7,5,14,15
660,"(2, 10, 7)","(5, 14, 15)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,14,15
661,"(1, 11, 7)","(5, 14, 16)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,7,5,14,16
662,"(2, 10, 7)","(5, 14, 16)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,14,16
663,"(1, 10, 8)","(5, 14, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,10,8,5,14,17
664,"(1, 11, 7)","(5, 14, 17)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,7,5,14,17
665,"(2, 10, 7)","(5, 14, 17)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,14,17
